"gene","hazard_ratio_per_sd","ci_95_low","ci_95_high","p_value","fdr_bh_within_five"
"LAMC2",1.97311368312587,1.44088249574735,2.70193969184089,2.2617270019177e-05,3.76954500319616e-05
"DKK1",1.69102568860071,1.33010188016734,2.14988635242568,1.79630234961293e-05,3.76954500319616e-05
"ITGB6",2.41279991227183,1.61763423941395,3.59883790464775,1.57613707156139e-05,3.76954500319616e-05
"GPRC5A",2.01003018694945,1.41430901983857,2.85667509418076,9.90698950717279e-05,0.00012383736883966
"MAL2",1.61012727128493,1.24391729173399,2.08414968339378,0.000297078344445715,0.000297078344445715
