"gene","cohorts","patients","events","hazard_ratio_per_cohort_sd","ci_95_low","ci_95_high","p_value","i2_percent","tau2","fdr_bh_within_five"
"DKK1",2,255,149,1.39327739905527,0.954145208678615,2.03451413166618,0.0859800760684526,80.1600181782923,0.0598185480318763,0.189584466344855
"GPRC5A",2,255,149,1.49434295917893,0.851780781420524,2.62163801808668,0.161328014530139,83.7845857298561,0.137976897934142,0.201660018162674
"ITGB6",2,255,149,1.52073050196196,0.634322362468588,3.64581385811068,0.347400318738834,92.9676581393382,0.370479493412205,0.347400318738834
"LAMC2",2,255,149,1.58170411809666,1.03514430181698,2.41684943134262,0.0340326834355391,74.7197762226309,0.0699546653436143,0.170163417177696
"MAL2",2,255,149,1.34044192133129,0.932290966539207,1.92727872407929,0.113750679806913,73.694875107935,0.0505916916239475,0.189584466344855
