"held_out_cohort","n_patients","n_events","c_index","ci_95_low","ci_95_high"
"GSE85916",79,57,0.527397260273973,0.435312919823963,0.607357495001817
"TCGA_PAAD",176,92,0.57626383163376,0.508363191069796,0.647360673638998
