"gene","coefficient","hazard_ratio_per_tcga_sd"
"LAMC2",1.41388921072243,4.11191645557477
"DKK1",0.209679905906647,1.23328323009138
"ITGB6",0.266275701017655,1.30509482506208
"GPRC5A",0.0170288745233826,1.01717469233565
"MAL2",0.0721849461532718,1.07485411581626
